source_ip_address,source_port_number,destination_ip_address,destination_port_number,window_size,is_cwr,transport_protocol,is_ece,sequence_number,destination_mac_address,network_protocol,is_syn,is_urg,is_psh,is_ack,source_mac_address,acknowledge_number,ip_identifier,is_rst,ttl,total_ip_packet_length,is_fin,attack_flag,attack_step,attack_name
10.71.65.58,41990,142.250.198.10,443,501,0,TCP,0,4097675296,00:00:0c:07:ac:46,IP,0,0,1,1,f8:b5:4d:f5:9d:30,2049955591,13718,0,64,772,0,0,benign,benign
10.71.65.36,54915,10.71.255.255,54915,-1,0,UDP,0,-1,ff:ff:ff:ff:ff:ff,IP,0,0,0,0,8c:8d:28:a3:63:67,-1,53385,0,128,291,0,0,benign,benign
142.250.198.10,443,10.71.65.58,41978,310,0,TCP,0,2656924740,f8:b5:4d:f5:9d:30,IP,0,0,0,1,98:a2:c0:37:6b:1f,1382238173,3093,0,117,52,0,0,benign,benign
142.250.198.10,443,10.71.65.58,41990,426,0,TCP,0,2049955591,f8:b5:4d:f5:9d:30,IP,0,0,0,1,98:a2:c0:37:6b:1f,4097674189,8122,0,118,52,0,0,benign,benign
142.250.198.10,443,10.71.65.58,41990,437,0,TCP,0,2049955591,f8:b5:4d:f5:9d:30,IP,0,0,0,1,98:a2:c0:37:6b:1f,4097675296,8123,0,118,52,0,0,benign,benign
142.250.198.10,443,10.71.65.58,41990,447,0,TCP,0,2049955591,f8:b5:4d:f5:9d:30,IP,0,0,0,1,98:a2:c0:37:6b:1f,4097676016,8124,0,118,52,0,0,benign,benign
10.71.123.56,137,10.71.255.255,137,-1,0,UDP,0,-1,ff:ff:ff:ff:ff:ff,IP,0,0,0,0,c4:bd:e5:10:58:6a,-1,12432,0,128,78,0,0,benign,benign
10.71.64.106,64988,10.71.255.255,51007,-1,0,UDP,0,-1,ff:ff:ff:ff:ff:ff,IP,0,0,0,0,fc:b3:bc:49:41:de,-1,25739,0,128,172,0,0,benign,benign
10.71.123.56,137,10.71.255.255,137,-1,0,UDP,0,-1,ff:ff:ff:ff:ff:ff,IP,0,0,0,0,c4:bd:e5:10:58:6a,-1,12433,0,128,78,0,0,benign,benign
10.71.65.36,54915,10.71.255.255,54915,-1,0,UDP,0,-1,ff:ff:ff:ff:ff:ff,IP,0,0,0,0,8c:8d:28:a3:63:67,-1,53226,0,128,291,0,0,benign,benign
10.71.65.58,37382,142.251.220.67,443,501,0,TCP,0,2221344926,00:00:0c:07:ac:46,IP,0,0,0,1,f8:b5:4d:f5:9d:30,858462430,59178,0,64,52,0,0,benign,benign
10.71.65.58,43930,142.250.206.234,443,501,0,TCP,0,695007901,00:00:0c:07:ac:46,IP,0,0,0,1,f8:b5:4d:f5:9d:30,4016462852,28148,0,64,52,0,0,benign,benign
142.250.206.234,443,10.71.65.58,43930,310,0,TCP,0,4016462852,f8:b5:4d:f5:9d:30,IP,0,0,0,1,98:a2:c0:37:6b:1f,695007902,59893,0,54,52,0,0,benign,benign
142.251.220.67,443,10.71.65.58,37382,278,0,TCP,0,858462430,f8:b5:4d:f5:9d:30,IP,0,0,0,1,98:a2:c0:37:6b:1f,2221344927,43190,0,53,52,0,0,benign,benign
10.71.65.43,63444,255.255.255.255,8610,-1,0,UDP,0,-1,ff:ff:ff:ff:ff:ff,IP,0,0,0,0,d4:d8:53:22:44:53,-1,48788,0,128,44,0,0,benign,benign
10.71.65.43,63444,255.255.255.255,8610,-1,0,UDP,0,-1,ff:ff:ff:ff:ff:ff,IP,0,0,0,0,d4:d8:53:22:44:53,-1,48789,0,128,44,0,0,benign,benign
10.71.123.56,137,10.71.255.255,137,-1,0,UDP,0,-1,ff:ff:ff:ff:ff:ff,IP,0,0,0,0,c4:bd:e5:10:58:6a,-1,12434,0,128,78,0,0,benign,benign
10.71.65.58,38338,142.250.206.206,443,501,0,TCP,0,3466886547,00:00:0c:07:ac:46,IP,0,0,1,1,f8:b5:4d:f5:9d:30,2481207432,2949,0,64,2738,0,0,benign,benign
10.71.65.58,38338,142.250.206.206,443,501,0,TCP,0,3466889233,00:00:0c:07:ac:46,IP,0,0,1,1,f8:b5:4d:f5:9d:30,2481207432,2952,0,64,115,0,0,benign,benign
142.250.206.206,443,10.71.65.58,38338,489,0,TCP,0,2481207432,f8:b5:4d:f5:9d:30,IP,0,0,0,1,98:a2:c0:37:6b:1f,3466887785,13537,0,55,52,0,0,benign,benign
142.250.206.206,443,10.71.65.58,38338,489,0,TCP,0,2481207432,f8:b5:4d:f5:9d:30,IP,0,0,0,1,98:a2:c0:37:6b:1f,3466889023,13538,0,55,52,0,0,benign,benign
142.250.206.206,443,10.71.65.58,38338,489,0,TCP,0,2481207432,f8:b5:4d:f5:9d:30,IP,0,0,0,1,98:a2:c0:37:6b:1f,3466889233,13539,0,55,52,0,0,benign,benign
142.250.206.206,443,10.71.65.58,38338,489,0,TCP,0,2481207432,f8:b5:4d:f5:9d:30,IP,0,0,0,1,98:a2:c0:37:6b:1f,3466889296,13540,0,55,52,0,0,benign,benign
142.250.206.206,443,10.71.65.58,38338,489,0,TCP,0,2481207432,f8:b5:4d:f5:9d:30,IP,0,0,1,1,98:a2:c0:37:6b:1f,3466889296,13541,0,55,1027,0,0,benign,benign
142.250.206.206,443,10.71.65.58,38338,489,0,TCP,0,2481208407,f8:b5:4d:f5:9d:30,IP,0,0,1,1,98:a2:c0:37:6b:1f,3466889296,13542,0,55,419,0,0,benign,benign
142.250.206.206,443,10.71.65.58,38338,489,0,TCP,0,2481208774,f8:b5:4d:f5:9d:30,IP,0,0,1,1,98:a2:c0:37:6b:1f,3466889296,13543,0,55,227,0,0,benign,benign
142.250.206.206,443,10.71.65.58,38338,489,0,TCP,0,2481208949,f8:b5:4d:f5:9d:30,IP,0,0,1,1,98:a2:c0:37:6b:1f,3466889296,13544,0,55,155,0,0,benign,benign
142.250.206.206,443,10.71.65.58,38338,489,0,TCP,0,2481209052,f8:b5:4d:f5:9d:30,IP,0,0,1,1,98:a2:c0:37:6b:1f,3466889296,13545,0,55,91,0,0,benign,benign
10.71.65.58,38338,142.250.206.206,443,501,0,TCP,0,3466889296,00:00:0c:07:ac:46,IP,0,0,0,1,f8:b5:4d:f5:9d:30,2481209091,2953,0,64,52,0,0,benign,benign
10.71.65.58,38338,142.250.206.206,443,501,0,TCP,0,3466889296,00:00:0c:07:ac:46,IP,0,0,1,1,f8:b5:4d:f5:9d:30,2481209091,2954,0,64,87,0,0,benign,benign
10.71.65.58,38338,142.250.206.206,443,501,0,TCP,0,3466889331,00:00:0c:07:ac:46,IP,0,0,1,1,f8:b5:4d:f5:9d:30,2481209091,2955,0,64,91,0,0,benign,benign
142.250.206.206,443,10.71.65.58,38338,489,0,TCP,0,2481209091,f8:b5:4d:f5:9d:30,IP,0,0,0,1,98:a2:c0:37:6b:1f,3466889331,13546,0,55,52,0,0,benign,benign
142.250.206.206,443,10.71.65.58,38338,489,0,TCP,0,2481209091,f8:b5:4d:f5:9d:30,IP,0,0,0,1,98:a2:c0:37:6b:1f,3466889370,13547,0,55,52,0,0,benign,benign
10.71.65.36,54915,10.71.255.255,54915,-1,0,UDP,0,-1,ff:ff:ff:ff:ff:ff,IP,0,0,0,0,8c:8d:28:a3:63:67,-1,53228,0,128,291,0,0,benign,benign
10.71.64.195,137,10.71.255.255,137,-1,0,UDP,0,-1,ff:ff:ff:ff:ff:ff,IP,0,0,0,0,d0:3c:1f:a4:5b:c3,-1,20319,0,128,78,0,0,benign,benign
10.71.64.106,64988,10.71.255.255,51007,-1,0,UDP,0,-1,ff:ff:ff:ff:ff:ff,IP,0,0,0,0,fc:b3:bc:49:41:de,-1,25740,0,128,172,0,0,benign,benign
10.71.65.36,54915,10.71.255.255,54915,-1,0,UDP,0,-1,ff:ff:ff:ff:ff:ff,IP,0,0,0,0,8c:8d:28:a3:63:67,-1,53229,0,128,291,0,0,benign,benign
10.71.64.195,137,10.71.255.255,137,-1,0,UDP,0,-1,ff:ff:ff:ff:ff:ff,IP,0,0,0,0,d0:3c:1f:a4:5b:c3,-1,20320,0,128,78,0,0,benign,benign
10.71.64.195,137,10.71.255.255,137,-1,0,UDP,0,-1,ff:ff:ff:ff:ff:ff,IP,0,0,0,0,d0:3c:1f:a4:5b:c3,-1,20321,0,128,78,0,0,benign,benign
10.71.65.36,54915,10.71.255.255,54915,-1,0,UDP,0,-1,ff:ff:ff:ff:ff:ff,IP,0,0,0,0,8c:8d:28:a3:63:67,-1,53230,0,128,291,0,0,benign,benign
10.71.65.36,54915,10.71.255.255,54915,-1,0,UDP,0,-1,ff:ff:ff:ff:ff:ff,IP,0,0,0,0,8c:8d:28:a3:63:67,-1,53231,0,128,291,0,0,benign,benign
10.71.65.58,55245,175.195.167.194,123,-1,0,UDP,0,-1,00:00:0c:07:ac:46,IP,0,0,0,0,f8:b5:4d:f5:9d:30,-1,43051,0,63,76,0,0,benign,benign
175.195.167.194,123,10.71.65.58,55245,-1,0,UDP,0,-1,f8:b5:4d:f5:9d:30,IP,0,0,0,0,98:a2:c0:37:6b:1f,-1,46740,0,51,76,0,0,benign,benign
10.71.64.106,64988,10.71.255.255,51007,-1,0,UDP,0,-1,ff:ff:ff:ff:ff:ff,IP,0,0,0,0,fc:b3:bc:49:41:de,-1,25741,0,128,172,0,0,benign,benign
10.71.65.36,54915,10.71.255.255,54915,-1,0,UDP,0,-1,ff:ff:ff:ff:ff:ff,IP,0,0,0,0,8c:8d:28:a3:63:67,-1,53232,0,128,291,0,0,benign,benign
10.71.65.58,46604,172.217.26.234,443,501,0,TCP,0,4243595567,00:00:0c:07:ac:46,IP,0,0,0,1,f8:b5:4d:f5:9d:30,76549319,7642,0,64,52,0,0,benign,benign
172.217.26.234,443,10.71.65.58,46604,278,0,TCP,0,76549319,f8:b5:4d:f5:9d:30,IP,0,0,0,1,98:a2:c0:37:6b:1f,4243595568,33336,0,118,52,0,0,benign,benign
10.71.65.40,137,10.71.255.255,137,-1,0,UDP,0,-1,ff:ff:ff:ff:ff:ff,IP,0,0,0,0,fc:b3:bc:4b:9a:f1,-1,47466,0,128,78,0,0,benign,benign
10.71.65.36,54915,10.71.255.255,54915,-1,0,UDP,0,-1,ff:ff:ff:ff:ff:ff,IP,0,0,0,0,8c:8d:28:a3:63:67,-1,53233,0,128,291,0,0,benign,benign
10.71.65.40,137,10.71.255.255,137,-1,0,UDP,0,-1,ff:ff:ff:ff:ff:ff,IP,0,0,0,0,fc:b3:bc:4b:9a:f1,-1,47467,0,128,78,0,0,benign,benign
10.71.65.36,54915,10.71.255.255,54915,-1,0,UDP,0,-1,ff:ff:ff:ff:ff:ff,IP,0,0,0,0,8c:8d:28:a3:63:67,-1,53234,0,128,291,0,0,benign,benign
10.71.65.40,137,10.71.255.255,137,-1,0,UDP,0,-1,ff:ff:ff:ff:ff:ff,IP,0,0,0,0,fc:b3:bc:4b:9a:f1,-1,47468,0,128,78,0,0,benign,benign
142.250.198.10,443,10.71.65.58,41990,331,0,TCP,0,2049952094,f8:b5:4d:f5:9d:30,IP,0,0,1,1,98:a2:c0:37:6b:1f,4097664519,8062,0,118,216,0,0,benign,benign
10.71.65.58,41990,142.250.198.10,443,501,0,TCP,0,4097664519,00:00:0c:07:ac:46,IP,0,0,1,1,f8:b5:4d:f5:9d:30,2049952258,13675,0,64,87,0,0,benign,benign
10.71.65.58,41990,142.250.198.10,443,501,0,TCP,0,4097664554,00:00:0c:07:ac:46,IP,0,0,1,1,f8:b5:4d:f5:9d:30,2049952258,13676,0,64,87,0,0,benign,benign
142.250.198.10,443,10.71.65.58,41990,331,0,TCP,0,2049952258,f8:b5:4d:f5:9d:30,IP,0,0,0,1,98:a2:c0:37:6b:1f,4097664554,8063,0,118,52,0,0,benign,benign
142.250.198.10,443,10.71.65.58,41990,331,0,TCP,0,2049952258,f8:b5:4d:f5:9d:30,IP,0,0,0,1,98:a2:c0:37:6b:1f,4097664589,8064,0,118,52,0,0,benign,benign
10.71.65.36,54915,10.71.255.255,54915,-1,0,UDP,0,-1,ff:ff:ff:ff:ff:ff,IP,0,0,0,0,8c:8d:28:a3:63:67,-1,53235,0,128,291,0,0,benign,benign
10.71.64.106,64988,10.71.255.255,51007,-1,0,UDP,0,-1,ff:ff:ff:ff:ff:ff,IP,0,0,0,0,fc:b3:bc:49:41:de,-1,25742,0,128,172,0,0,benign,benign
10.71.65.58,38338,142.250.206.206,443,501,0,TCP,0,3466889370,00:00:0c:07:ac:46,IP,0,0,1,1,f8:b5:4d:f5:9d:30,2481209091,2956,0,64,3222,0,0,benign,benign
10.71.65.58,38338,142.250.206.206,443,501,0,TCP,0,3466892540,00:00:0c:07:ac:46,IP,0,0,1,1,f8:b5:4d:f5:9d:30,2481209091,2959,0,64,176,0,0,benign,benign
142.250.206.206,443,10.71.65.58,38338,489,0,TCP,0,2481209091,f8:b5:4d:f5:9d:30,IP,0,0,0,1,98:a2:c0:37:6b:1f,3466890608,13548,0,55,52,0,0,benign,benign
142.250.206.206,443,10.71.65.58,38338,489,0,TCP,0,2481209091,f8:b5:4d:f5:9d:30,IP,0,0,0,1,98:a2:c0:37:6b:1f,3466891846,13549,0,55,52,0,0,benign,benign
142.250.206.206,443,10.71.65.58,38338,489,0,TCP,0,2481209091,f8:b5:4d:f5:9d:30,IP,0,0,0,1,98:a2:c0:37:6b:1f,3466892540,13550,0,55,52,0,0,benign,benign
142.250.206.206,443,10.71.65.58,38338,489,0,TCP,0,2481209091,f8:b5:4d:f5:9d:30,IP,0,0,0,1,98:a2:c0:37:6b:1f,3466892664,13551,0,55,52,0,0,benign,benign
10.71.65.36,54915,10.71.255.255,54915,-1,0,UDP,0,-1,ff:ff:ff:ff:ff:ff,IP,0,0,0,0,8c:8d:28:a3:63:67,-1,53236,0,128,291,0,0,benign,benign
142.250.206.206,443,10.71.65.58,38338,489,0,TCP,0,2481209091,f8:b5:4d:f5:9d:30,IP,0,0,1,1,98:a2:c0:37:6b:1f,3466892664,13552,0,55,119,0,0,benign,benign
142.250.206.206,443,10.71.65.58,38338,489,0,TCP,0,2481209158,f8:b5:4d:f5:9d:30,IP,0,0,1,1,98:a2:c0:37:6b:1f,3466892664,13553,0,55,209,0,0,benign,benign
142.250.206.206,443,10.71.65.58,38338,489,0,TCP,0,2481209315,f8:b5:4d:f5:9d:30,IP,0,0,1,1,98:a2:c0:37:6b:1f,3466892664,13554,0,55,242,0,0,benign,benign
142.250.206.206,443,10.71.65.58,38338,489,0,TCP,0,2481209505,f8:b5:4d:f5:9d:30,IP,0,0,1,1,98:a2:c0:37:6b:1f,3466892664,13555,0,55,91,0,0,benign,benign
10.71.65.58,38338,142.250.206.206,443,501,0,TCP,0,3466892664,00:00:0c:07:ac:46,IP,0,0,0,1,f8:b5:4d:f5:9d:30,2481209544,2960,0,64,52,0,0,benign,benign
10.71.65.58,38338,142.250.206.206,443,501,0,TCP,0,3466892664,00:00:0c:07:ac:46,IP,0,0,1,1,f8:b5:4d:f5:9d:30,2481209544,2961,0,64,87,0,0,benign,benign
10.71.65.58,38338,142.250.206.206,443,501,0,TCP,0,3466892699,00:00:0c:07:ac:46,IP,0,0,1,1,f8:b5:4d:f5:9d:30,2481209544,2962,0,64,91,0,0,benign,benign
142.250.206.206,443,10.71.65.58,38338,489,0,TCP,0,2481209544,f8:b5:4d:f5:9d:30,IP,0,0,0,1,98:a2:c0:37:6b:1f,3466892699,13556,0,55,52,0,0,benign,benign
142.250.206.206,443,10.71.65.58,38338,489,0,TCP,0,2481209544,f8:b5:4d:f5:9d:30,IP,0,0,0,1,98:a2:c0:37:6b:1f,3466892738,13557,0,55,52,0,0,benign,benign
10.71.64.167,137,10.71.255.255,137,-1,0,UDP,0,-1,ff:ff:ff:ff:ff:ff,IP,0,0,0,0,c4:bd:e5:10:3f:38,-1,27043,0,128,78,0,0,benign,benign
10.71.64.167,137,10.71.255.255,137,-1,0,UDP,0,-1,ff:ff:ff:ff:ff:ff,IP,0,0,0,0,c4:bd:e5:10:3f:38,-1,27044,0,128,78,0,0,benign,benign
10.71.65.36,54915,10.71.255.255,54915,-1,0,UDP,0,-1,ff:ff:ff:ff:ff:ff,IP,0,0,0,0,8c:8d:28:a3:63:67,-1,53237,0,128,291,0,0,benign,benign
10.71.65.36,54915,10.71.255.255,54915,-1,0,UDP,0,-1,ff:ff:ff:ff:ff:ff,IP,0,0,0,0,8c:8d:28:a3:63:67,-1,53238,0,128,291,0,0,benign,benign
10.71.65.58,41978,142.250.198.10,443,501,0,TCP,0,1382236969,00:00:0c:07:ac:46,IP,0,0,0,1,f8:b5:4d:f5:9d:30,2656924025,26827,0,64,52,0,0,benign,benign
142.250.198.10,443,10.71.65.58,41978,292,0,TCP,0,2656924025,f8:b5:4d:f5:9d:30,IP,0,0,0,1,98:a2:c0:37:6b:1f,1382236970,3065,0,117,52,0,0,benign,benign
10.71.64.106,64988,10.71.255.255,51007,-1,0,UDP,0,-1,ff:ff:ff:ff:ff:ff,IP,0,0,0,0,fc:b3:bc:49:41:de,-1,25743,0,128,172,0,0,benign,benign
10.71.65.58,48007,10.1.5.45,53,-1,0,UDP,0,-1,00:00:0c:07:ac:46,IP,0,0,0,0,f8:b5:4d:f5:9d:30,-1,57838,0,64,86,0,0,benign,benign
10.1.5.45,53,10.71.65.58,48007,-1,0,UDP,0,-1,f8:b5:4d:f5:9d:30,IP,0,0,0,0,98:a2:c0:37:6b:1f,-1,44341,0,62,422,0,0,benign,benign
10.71.65.36,54915,10.71.255.255,54915,-1,0,UDP,0,-1,ff:ff:ff:ff:ff:ff,IP,0,0,0,0,8c:8d:28:a3:63:67,-1,53240,0,128,291,0,0,benign,benign
10.71.65.58,53636,142.251.222.14,443,501,0,TCP,0,4055298175,00:00:0c:07:ac:46,IP,0,0,0,1,f8:b5:4d:f5:9d:30,3024879524,8045,0,64,52,0,0,benign,benign
142.251.222.14,443,10.71.65.58,53636,278,0,TCP,0,3024879524,f8:b5:4d:f5:9d:30,IP,0,0,0,1,98:a2:c0:37:6b:1f,4055298176,63234,0,118,52,0,0,benign,benign
10.71.65.36,54915,10.71.255.255,54915,-1,0,UDP,0,-1,ff:ff:ff:ff:ff:ff,IP,0,0,0,0,8c:8d:28:a3:63:67,-1,53241,0,128,291,0,0,benign,benign
10.71.65.36,54915,10.71.255.255,54915,-1,0,UDP,0,-1,ff:ff:ff:ff:ff:ff,IP,0,0,0,0,8c:8d:28:a3:63:67,-1,53242,0,128,291,0,0,benign,benign
10.71.65.58,43338,108.177.125.188,5228,501,0,TCP,0,676706946,00:00:0c:07:ac:46,IP,0,0,0,1,f8:b5:4d:f5:9d:30,354826413,39999,0,64,52,0,0,benign,benign
10.71.64.106,64988,10.71.255.255,51007,-1,0,UDP,0,-1,ff:ff:ff:ff:ff:ff,IP,0,0,0,0,fc:b3:bc:49:41:de,-1,25744,0,128,172,0,0,benign,benign
108.177.125.188,5228,10.71.65.58,43338,265,0,TCP,0,354826413,f8:b5:4d:f5:9d:30,IP,0,0,0,1,98:a2:c0:37:6b:1f,676706947,44771,0,54,52,0,0,benign,benign
10.71.65.36,54915,10.71.255.255,54915,-1,0,UDP,0,-1,ff:ff:ff:ff:ff:ff,IP,0,0,0,0,8c:8d:28:a3:63:67,-1,53243,0,128,291,0,0,benign,benign
10.71.65.36,54915,10.71.255.255,54915,-1,0,UDP,0,-1,ff:ff:ff:ff:ff:ff,IP,0,0,0,0,8c:8d:28:a3:63:67,-1,53244,0,128,291,0,0,benign,benign
10.71.65.36,54915,10.71.255.255,54915,-1,0,UDP,0,-1,ff:ff:ff:ff:ff:ff,IP,0,0,0,0,8c:8d:28:a3:63:67,-1,53245,0,128,291,0,0,benign,benign
10.71.65.58,51118,142.251.220.67,443,501,0,TCP,0,578372073,00:00:0c:07:ac:46,IP,0,0,1,1,f8:b5:4d:f5:9d:30,1733600877,6584,0,64,146,0,0,benign,benign
10.71.65.58,51118,142.251.220.67,443,501,0,TCP,0,578372167,00:00:0c:07:ac:46,IP,0,0,1,1,f8:b5:4d:f5:9d:30,1733600877,6585,0,64,91,0,0,benign,benign
142.251.220.67,443,10.71.65.58,51118,278,0,TCP,0,1733600877,f8:b5:4d:f5:9d:30,IP,0,0,0,1,98:a2:c0:37:6b:1f,578372206,19205,0,119,52,0,0,benign,benign
142.251.220.67,443,10.71.65.58,51118,278,0,TCP,0,1733600877,f8:b5:4d:f5:9d:30,IP,0,0,1,1,98:a2:c0:37:6b:1f,578372206,19206,0,119,91,0,0,benign,benign
10.71.65.58,51118,142.251.220.67,443,501,0,TCP,0,578372206,00:00:0c:07:ac:46,IP,0,0,0,1,f8:b5:4d:f5:9d:30,1733600916,6586,0,64,52,0,0,benign,benign
142.251.220.67,443,10.71.65.58,51118,278,0,TCP,0,1733600916,f8:b5:4d:f5:9d:30,IP,0,0,1,1,98:a2:c0:37:6b:1f,578372206,19207,0,119,150,0,0,benign,benign
10.71.65.58,51118,142.251.220.67,443,501,0,TCP,0,578372206,00:00:0c:07:ac:46,IP,0,0,0,1,f8:b5:4d:f5:9d:30,1733601014,6587,0,64,52,0,0,benign,benign
142.251.220.67,443,10.71.65.58,51118,278,0,TCP,0,1733601014,f8:b5:4d:f5:9d:30,IP,0,0,1,1,98:a2:c0:37:6b:1f,578372206,19208,0,119,126,0,0,benign,benign
10.71.65.58,51118,142.251.220.67,443,501,0,TCP,0,578372206,00:00:0c:07:ac:46,IP,0,0,0,1,f8:b5:4d:f5:9d:30,1733601088,6588,0,64,52,0,0,benign,benign
142.251.220.67,443,10.71.65.58,51118,278,0,TCP,0,1733601088,f8:b5:4d:f5:9d:30,IP,0,0,1,1,98:a2:c0:37:6b:1f,578372206,19209,0,119,91,0,0,benign,benign
10.71.65.58,51118,142.251.220.67,443,501,0,TCP,0,578372206,00:00:0c:07:ac:46,IP,0,0,0,1,f8:b5:4d:f5:9d:30,1733601127,6589,0,64,52,0,0,benign,benign
10.71.65.58,51118,142.251.220.67,443,501,0,TCP,0,578372206,00:00:0c:07:ac:46,IP,0,0,1,1,f8:b5:4d:f5:9d:30,1733601127,6590,0,64,87,0,0,benign,benign
10.71.65.58,51118,142.251.220.67,443,501,0,TCP,0,578372241,00:00:0c:07:ac:46,IP,0,0,1,1,f8:b5:4d:f5:9d:30,1733601127,6591,0,64,91,0,0,benign,benign
142.251.220.67,443,10.71.65.58,51118,278,0,TCP,0,1733601127,f8:b5:4d:f5:9d:30,IP,0,0,0,1,98:a2:c0:37:6b:1f,578372280,19210,0,119,52,0,0,benign,benign
10.71.65.36,54915,10.71.255.255,54915,-1,0,UDP,0,-1,ff:ff:ff:ff:ff:ff,IP,0,0,0,0,8c:8d:28:a3:63:67,-1,53246,0,128,291,0,0,benign,benign
10.71.64.106,64988,10.71.255.255,51007,-1,0,UDP,0,-1,ff:ff:ff:ff:ff:ff,IP,0,0,0,0,fc:b3:bc:49:41:de,-1,25745,0,128,172,0,0,benign,benign
10.71.65.36,54915,10.71.255.255,54915,-1,0,UDP,0,-1,ff:ff:ff:ff:ff:ff,IP,0,0,0,0,8c:8d:28:a3:63:67,-1,53247,0,128,291,0,0,benign,benign
10.71.65.36,54915,10.71.255.255,54915,-1,0,UDP,0,-1,ff:ff:ff:ff:ff:ff,IP,0,0,0,0,8c:8d:28:a3:63:67,-1,53248,0,128,291,0,0,benign,benign
10.71.65.38,51736,10.71.255.255,1947,-1,0,UDP,0,-1,ff:ff:ff:ff:ff:ff,IP,0,0,0,0,78:af:08:ba:f5:4f,-1,7837,0,128,68,0,0,benign,benign
10.71.65.38,51737,255.255.255.255,1947,-1,0,UDP,0,-1,ff:ff:ff:ff:ff:ff,IP,0,0,0,0,78:af:08:ba:f5:4f,-1,3679,0,128,68,0,0,benign,benign
10.71.65.36,54915,10.71.255.255,54915,-1,0,UDP,0,-1,ff:ff:ff:ff:ff:ff,IP,0,0,0,0,8c:8d:28:a3:63:67,-1,53249,0,128,291,0,0,benign,benign
10.71.64.106,64988,10.71.255.255,51007,-1,0,UDP,0,-1,ff:ff:ff:ff:ff:ff,IP,0,0,0,0,fc:b3:bc:49:41:de,-1,25746,0,128,172,0,0,benign,benign
10.71.65.36,54915,10.71.255.255,54915,-1,0,UDP,0,-1,ff:ff:ff:ff:ff:ff,IP,0,0,0,0,8c:8d:28:a3:63:67,-1,53250,0,128,291,0,0,benign,benign
10.71.65.58,38338,142.250.206.206,443,501,0,TCP,0,3466892738,00:00:0c:07:ac:46,IP,0,0,1,1,f8:b5:4d:f5:9d:30,2481209544,2963,0,64,3221,0,0,benign,benign
10.71.65.58,38338,142.250.206.206,443,501,0,TCP,0,3466895907,00:00:0c:07:ac:46,IP,0,0,1,1,f8:b5:4d:f5:9d:30,2481209544,2966,0,64,215,0,0,benign,benign
142.250.206.206,443,10.71.65.58,38338,489,0,TCP,0,2481209544,f8:b5:4d:f5:9d:30,IP,0,0,0,1,98:a2:c0:37:6b:1f,3466893976,13558,0,55,52,0,0,benign,benign
142.250.206.206,443,10.71.65.58,38338,489,0,TCP,0,2481209544,f8:b5:4d:f5:9d:30,IP,0,0,0,1,98:a2:c0:37:6b:1f,3466895214,13559,0,55,52,0,0,benign,benign
142.250.206.206,443,10.71.65.58,38338,489,0,TCP,0,2481209544,f8:b5:4d:f5:9d:30,IP,0,0,0,1,98:a2:c0:37:6b:1f,3466895907,13560,0,55,52,0,0,benign,benign
142.250.206.206,443,10.71.65.58,38338,489,0,TCP,0,2481209544,f8:b5:4d:f5:9d:30,IP,0,0,0,1,98:a2:c0:37:6b:1f,3466896070,13561,0,55,52,0,0,benign,benign
142.250.206.206,443,10.71.65.58,38338,489,0,TCP,0,2481209544,f8:b5:4d:f5:9d:30,IP,0,0,1,1,98:a2:c0:37:6b:1f,3466896070,13562,0,55,91,0,0,benign,benign
10.71.65.36,54915,10.71.255.255,54915,-1,0,UDP,0,-1,ff:ff:ff:ff:ff:ff,IP,0,0,0,0,8c:8d:28:a3:63:67,-1,53251,0,128,291,0,0,benign,benign
10.71.65.58,38338,142.250.206.206,443,501,0,TCP,0,3466896070,00:00:0c:07:ac:46,IP,0,0,0,1,f8:b5:4d:f5:9d:30,2481209583,2967,0,64,52,0,0,benign,benign
142.250.206.206,443,10.71.65.58,38338,489,0,TCP,0,2481209583,f8:b5:4d:f5:9d:30,IP,0,0,1,1,98:a2:c0:37:6b:1f,3466896070,13563,0,55,119,0,0,benign,benign
10.71.65.58,38338,142.250.206.206,443,501,0,TCP,0,3466896070,00:00:0c:07:ac:46,IP,0,0,0,1,f8:b5:4d:f5:9d:30,2481209650,2968,0,64,52,0,0,benign,benign
142.250.206.206,443,10.71.65.58,38338,489,0,TCP,0,2481209650,f8:b5:4d:f5:9d:30,IP,0,0,1,1,98:a2:c0:37:6b:1f,3466896070,13564,0,55,255,0,0,benign,benign
10.71.65.58,38338,142.250.206.206,443,500,0,TCP,0,3466896070,00:00:0c:07:ac:46,IP,0,0,0,1,f8:b5:4d:f5:9d:30,2481209853,2969,0,64,52,0,0,benign,benign
142.250.206.206,443,10.71.65.58,38338,489,0,TCP,0,2481209853,f8:b5:4d:f5:9d:30,IP,0,0,1,1,98:a2:c0:37:6b:1f,3466896070,13565,0,55,295,0,0,benign,benign
10.71.65.58,38338,142.250.206.206,443,499,0,TCP,0,3466896070,00:00:0c:07:ac:46,IP,0,0,0,1,f8:b5:4d:f5:9d:30,2481210096,2970,0,64,52,0,0,benign,benign
142.250.206.206,443,10.71.65.58,38338,489,0,TCP,0,2481210096,f8:b5:4d:f5:9d:30,IP,0,0,1,1,98:a2:c0:37:6b:1f,3466896070,13566,0,55,91,0,0,benign,benign
10.71.65.58,38338,142.250.206.206,443,499,0,TCP,0,3466896070,00:00:0c:07:ac:46,IP,0,0,0,1,f8:b5:4d:f5:9d:30,2481210135,2971,0,64,52,0,0,benign,benign
